glyph_name,sort_final,USV
u106A,526,106A
u106B,527,106B
u106C,528,106C
u106D,529,106D
u106D.csh,530,
u106E,531,106E
u106F,532,106F
u1070,533,1070
u1071,534,1071
u1072,535,1072
u1073,536,1073
u1074,537,1074
u1075,538,1075
u1075.aiph,539,
u1075.kham,540,
u1075.med.aiph,541,
u1076,542,1076
u1077,543,1077
u1078,544,1078
u1078.aiph,545,
u1078.kham,546,
u1079,547,1079
u107A,548,107A
u107A.aiph,549,
u107A.alt.aiph,550,
u107A.med.aiph,551,
u107B,552,107B
u107C,553,107C
u107D,554,107D
u107E,555,107E
u107F,556,107F
u1080,557,1080
u1080.kham,558,
u1081,559,1081
u1081.straight,560,
u1082,561,1082
u1082_u108D,562,
u1083,563,1083
u1084,564,1084
u1085,565,1085
u1085_uAA70,566,
u1086,567,1086
u1086.kham,568,
u1086_uAA70,569,
u1086_uAA7C,570,
u1087,571,1087
u1087.dot,572,
u1088,573,1088
u1088.dot,574,
u1089,575,1089
u1089.dot,576,
u108A,577,108A
u108A.dot,578,
u108B,579,108B
u108C,580,108C
u108D,581,108D
u108E,582,108E
u108F,583,108F
u1090,584,1090
u1091,585,1091
u1092,586,1092
u1093,587,1093
u1094,588,1094
u1095,589,1095
u1096,590,1096
u1097,591,1097
u1098,592,1098
u1099,593,1099
u109A,594,109A
u109A.dot,595,
u109B,596,109B
u109B.dot,597,
u109C,598,109C
u109D,599,109D
u109E,600,109E
u109F,601,109F
uA92E,602,A92E
uA9E0,603,A9E0
uA9E1,604,A9E1
uA9E2,605,A9E2
uA9E3,606,A9E3
uA9E4,607,A9E4
uA9E5,608,A9E5
uA9E5_uAA7C,609,
uA9E6,610,A9E6
uA9E7,611,A9E7
uA9E8,612,A9E8
uA9E9,613,A9E9
uA9EA,614,A9EA
uA9EB,615,A9EB
uA9EC,616,A9EC
uA9ED,617,A9ED
uA9EE,618,A9EE
uA9EF,619,A9EF
uA9F0,620,A9F0
uA9F1,621,A9F1
uA9F2,622,A9F2
uA9F3,623,A9F3
uA9F4,624,A9F4
uA9F5,625,A9F5
uA9F6,626,A9F6
uA9F7,627,A9F7
uA9F8,628,A9F8
uA9F9,629,A9F9
uA9FA,630,A9FA
uA9FB,631,A9FB
uA9FC,632,A9FC
uA9FD,633,A9FD
uA9FE,634,A9FE
uAA60,635,AA60
uAA60.kham,636,
uAA60.med,637,
uAA60.med.kham,638,
uAA61,639,AA61
uAA61.aiph,640,
uAA61.kham,641,
uAA61.med.aiph,642,
uAA61.med.kham,643,
uAA62,644,AA62
uAA62.kham,645,
uAA63,646,AA63
uAA63.kham,647,
uAA64,648,AA64
uAA64.kham,649,
uAA65,650,AA65
uAA65.kham,651,
uAA66,652,AA66
uAA66.kham,653,
uAA67,654,AA67
uAA68,655,AA68
uAA69,656,AA69
uAA6A,657,AA6A
uAA6B,658,AA6B
uAA6B.aiph,659,
uAA6B.kham,660,
uAA6B.med.aiph,661,
uAA6B.med.kham,662,
uAA6C,663,AA6C
uAA6C.alt,664,
uAA6C.kham,665,
uAA6C.med.kham,666,
uAA6D,667,AA6D
uAA6D.aiph,668,
uAA6E,669,AA6E
uAA6F,670,AA6F
uAA6F.kham,671,
uAA70,672,AA70
uAA71,673,AA71
uAA72,674,AA72
uAA73,675,AA73
uAA73.kham,676,
uAA74,677,AA74
uAA75,678,AA75
uAA75.kham,679,
uAA76,680,AA76
uAA76.kham,681,
uAA77,682,AA77
uAA77.aiph,683,
uAA78,684,AA78
uAA79,685,AA79
uAA79.aiph,686,
uAA7A,687,AA7A
uAA7A.aiph,688,
uAA7B,689,AA7B
uAA7B.dot,690,
uAA7C,691,AA7C
uAA7D,692,AA7D
uAA7E,693,AA7E
uAA7F,694,AA7F
u1700,695,1700
u2000,696,2000
u2001,697,2001
u2002,698,2002
u2003,699,2003
u2004,700,2004
u2005,701,2005
u2006,702,2006
u2007,703,2007
u2008,704,2008
u2009,705,2009
u200A,706,200A
u200B,707,200B
u200C,708,200C
u200D,709,200D
u200E,710,200E
u200F,711,200F
u2010,712,2010
u2011,713,2011
figuredash,714,2012
endash,715,2013
emdash,716,2014
u2015,717,2015
quoteleft,718,2018
quoteright,719,2019
quotesinglbase,720,201A
quotedblleft,721,201C
quotedblright,722,201D
quotedblbase,723,201E
dagger,724,2020
daggerdbl,725,2021
bullet,726,2022
ellipsis,727,2026
u2027,728,2027
u2028,729,2028
u2029,730,2029
u202A,731,202A
u202B,732,202B
u202C,733,202C
u202D,734,202D
u202E,735,202E
u202F,736,202F
perthousand,737,2030
guilsinglleft,738,2039
guilsinglright,739,203A
fraction,740,2044
u2060,741,2060
foursuperior,742,2074
Euro,743,20AC
trademark,744,2122
Omega,745,2126
partialdiff,746,2202
Delta,747,2206
product,748,220F
summation,749,2211
minus,750,2212
u2215,751,2215
u2219,752,2219
radical,753,221A
infinity,754,221E
integral,755,222B
approxequal,756,2248
notequal,757,2260
lessequal,758,2264
greaterequal,759,2265
lozenge,760,25CA
circledash,761,25CC
fi,762,FB01
fl,763,FB02
uFE00,764,FE00
uFE01,765,FE01
uFE02,766,FE02
uFE03,767,FE03
uFE04,768,FE04
uFE05,769,FE05
uFE06,770,FE06
uFE07,771,FE07
uFE08,772,FE08
uFE09,773,FE09
uFE0A,774,FE0A
uFE0B,775,FE0B
uFE0C,776,FE0C
uFE0D,777,FE0D
uFE0E,778,FE0E
uFE0F,779,FE0F
uFEFF,780,FEFF
uFFFC,781,FFFC
uFFFD,782,FFFD
